Benchmark,Baseline,ASAN,LightSan
2mm,0.99491133,5.32100766,5.32896966
3mm,1.662153,8.673911,8.70216066
adi,7.25640066,15.081041,15.15046166
atax,0.00308733,0.01936733,0.01941433
bicg,0.012672,0.03440566,0.03429766
cholesky,0.716471,6.04922566,6.03986633
correlation,1.06430466,3.26343433,3.29815566
covariance,1.03888533,3.26508966,3.29327966
deriche,0.10596833,0.339721,0.25146933
doitgen,0.24979633,1.75318566,1.75217466
durbin,0.00155,0.009892,0.01010366
fdtd-2d,0.60665133,4.64346233,4.54100266
floyd-warshall,12.04344766,93.744956,94.83136566
gemm,0.21353333,2.12428066,2.129545
gemver,0.00678066,0.03523033,0.03581233
gesummv,0.00537833,0.014578,0.01456466
gramschmidt,1.464302,4.655776,4.663959
heat-3d,1.149919,7.14759466,7.154676
jacobi-1d,0.00049533,0.00427866,0.00431033
jacobi-2d,0.74096166,5.43808733,5.43448566
lu,1.54146966,12.05619166,12.02475866
ludcmp,1.51319166,8.48699166,8.51332533
mvt,0.005062,0.02629533,0.026828
nussinov,2.14737766,8.75869766,8.80349266
seidel-2d,13.801884,45.52378966,45.66635566
symm,0.684672,4.02540933,3.88099833
syr2k,0.78788033,1.95704866,2.12133333
syrk,0.368922,1.61036833,1.575917
trisolv,0.00128433,0.00925066,0.00922233
trmm,0.54444433,2.69543766,2.71210633
